,dim1,dim2,dim3,dim4,nn,min_dist
122822,2.624420166015625,15.727767944335938,2.4855153560638428,0.0162667203694582,966975,1.4875459671020508
499566,5.782451629638672,7.455013275146484,7.121248722076416,5.031092643737793,124422,0.7620691061019897
140117,2.155029773712158,19.367265701293945,8.32906723022461,2.764536142349243,117122,0.7652513980865479
804646,5.468047618865967,13.012212753295898,6.4379167556762695,1.055098295211792,194443,0.5797033905982971
173738,-0.680260419845581,4.31508207321167,0.9720697999000549,4.32430362701416,150625,0.740881621837616
878877,-1.7406857013702393,15.135546684265137,0.5195663571357727,2.721571922302246,766563,0.9592980146408081
165436,1.0949492454528809,0.47920963168144226,0.9580225348472595,4.590416431427002,182032,1.271216630935669
113619,5.429147243499756,10.099671363830566,0.8281007409095764,-0.7688531875610352,186848,0.4900299608707428
212217,0.7244358658790588,19.591604232788086,8.266237258911133,4.300660133361816,133019,0.7302071452140808
135528,-0.09982869029045105,14.68040657043457,6.391141891479492,5.90557861328125,389357,0.4537689983844757
117930,4.9901814460754395,1.2313127517700195,0.007487257942557335,0.36489102244377136,123723,0.6185327172279358
142626,5.255469799041748,10.768597602844238,1.221916913986206,-0.6778149604797363,111211,0.5201284885406494
209329,5.19568395614624,14.153151512145996,8.114901542663574,2.3149948120117188,183741,0.494832307100296
176744,-0.22495555877685547,4.734849452972412,2.158221960067749,4.989924430847168,782157,0.4767022430896759
749058,-1.382972002029419,7.639906406402588,1.1871891021728516,4.498515605926514,206828,0.9588205218315125
561242,4.642249584197998,7.24992561340332,6.723342418670654,5.597635746002197,124422,0.7843055129051208
204420,2.8749585151672363,16.763938903808594,3.8587045669555664,0.21434201300144196,973770,0.8817689418792725
436845,5.655370712280273,9.109339714050293,1.9034287929534912,-0.3984837830066681,500222,0.20301789045333862
152225,1.8178033828735352,18.838876724243164,8.929301261901855,4.124986171722412,119126,0.7467847466468811
121820,-2.224616289138794,14.319720268249512,0.2892875373363495,3.6043150424957275,766563,1.1420077085494995
994273,4.238485813140869,16.55014991760254,7.437623977661133,1.3863483667373657,195445,0.6527541875839233
182840,7.090809345245361,4.818322658538818,5.426455974578857,3.9628374576568604,275645,1.5604593753814697
550439,0.01645250804722309,1.3502849340438843,0.6105884909629822,4.17795991897583,614439,1.1877549886703491
387959,0.4037151336669922,21.47006607055664,5.987015724182129,1.8151018619537354,130114,1.3032699823379517
217126,5.700516223907471,10.40697193145752,0.23278369009494781,-0.9920545220375061,209228,0.30623242259025574
150625,-1.009586215019226,4.831254005432129,0.730467677116394,3.9842374324798584,173738,0.740881621837616
118831,-1.403894305229187,14.544650077819824,2.321082592010498,3.7014737129211426,185846,0.7320546507835388
127933,0.48916035890579224,3.5994393825531006,2.5117413997650146,5.401615619659424,771354,0.6879597306251526
329844,5.569850921630859,12.15992259979248,2.429494619369507,-0.4461887776851654,599671,1.2549962997436523
749361,6.719456672668457,2.9709632396698,2.9516870975494385,1.8522084951400757,214524,0.5927555561065674
207628,4.74906063079834,3.1737794876098633,-0.4505312740802765,-0.484751433134079,175136,0.5639364123344421
766563,-1.742634892463684,14.608184814453125,1.1837124824523926,3.1699559688568115,103212,0.7990057468414307
115017,2.9490392208099365,6.038150787353516,5.735041618347168,6.4656081199646,346137,1.302598237991333
609143,5.297886371612549,14.892512321472168,8.288146018981934,1.974752426147461,209329,0.838378369808197
105620,2.211111307144165,13.23582649230957,8.368351936340332,5.941080570220947,167036,0.9498162865638733
210011,5.394248008728027,13.832449913024902,8.447747230529785,2.6189801692962646,162733,0.17376379668712616
552544,-1.2862567901611328,5.445764541625977,0.4535582959651947,3.7738234996795654,237334,0.6715377569198608
573451,1.4053925275802612,19.71369743347168,9.316427230834961,4.47369909286499,211821,0.569733202457428
553344,6.2315850257873535,10.186546325683594,4.092057228088379,0.04518021643161774,208630,0.9061689376831055
177645,4.211942195892334,14.02750301361084,8.092066764831543,3.1032819747924805,213522,0.8834810256958008
186040,-0.1568727195262909,-0.01102450117468834,-0.5034806132316589,3.4729630947113037,214625,0.19546478986740112
133827,2.118508815765381,16.725330352783203,9.009282112121582,4.909276008605957,178950,0.6103302836418152
124220,5.771389007568359,9.000629425048828,6.76335334777832,3.4609482288360596,715950,0.29572340846061707
174841,-1.7936463356018066,9.895777702331543,1.6103253364562988,4.90045690536499,151930,0.5885338187217712
627852,3.6600685119628906,15.954314231872559,5.635710716247559,0.7521978616714478,421226,0.7580446600914001
512835,5.176809787750244,12.420592308044434,6.018233299255371,1.1246417760849,804646,0.7847322821617126
153429,-1.084594488143921,14.545661926269531,0.3102918565273285,1.7621283531188965,151324,0.8176186084747314
126325,0.8498492240905762,20.779760360717773,7.27116584777832,2.6594834327697754,930449,0.5752413272857666
157336,-1.5803852081298828,15.407599449157715,1.5849905014038086,2.8908772468566895,151425,0.5651740431785583
576255,0.8215534687042236,6.951596260070801,4.859832763671875,6.851563930511475,156334,0.3932165503501892
901139,6.023345947265625,2.2023820877075195,2.075030565261841,1.647289514541626,107220,0.14956338703632355
872562,5.240054607391357,7.903802871704102,1.7022652626037598,-0.25977906584739685,113316,0.22398903965950012
224022,4.613348484039307,9.922815322875977,-1.5774405002593994,-1.508705735206604,146634,0.8036618232727051
445543,4.4352850914001465,14.478693962097168,5.895291328430176,0.774258017539978,180432,0.1647011935710907
197651,5.143086910247803,3.799468517303467,5.211071014404297,6.201900482177734,227533,1.3220022916793823
121921,7.042850017547607,7.184169769287109,6.061642646789551,2.4577205181121826,208125,0.7070855498313904
177140,-1.231874942779541,10.872883796691895,2.651111602783203,5.115559101104736,360030,0.22878378629684448
151324,-0.6669595241546631,15.01153564453125,0.09169407933950424,1.2833194732666016,153429,0.8176186084747314
168745,2.7103161811828613,17.38795280456543,4.65377140045166,0.5010110139846802,366042,0.4933323562145233
366042,2.8317158222198486,16.927040100097656,4.743212699890137,0.5915576219558716,168745,0.4933323562145233
599671,4.692782878875732,12.576628684997559,1.6363470554351807,-0.5013291239738464,793465,0.708577573299408
568963,1.989844560623169,-0.7096736431121826,0.9988357424736023,4.9442033767700195,196346,0.5586564540863037
138231,6.000912189483643,6.80747127532959,3.558269500732422,0.5931359529495239,144125,0.7628414630889893
500222,5.63232421875,9.047365188598633,2.089189052581787,-0.35013702511787415,436845,0.20301789045333862
513130,0.1643112599849701,18.25991439819336,8.293591499328613,5.646787643432617,186444,0.9916844367980957
154431,4.890670299530029,2.831491470336914,0.6434077620506287,0.24716134369373322,686969,0.4618644118309021
113215,-1.340867280960083,12.3440580368042,3.0325255393981934,5.097090244293213,168240,1.033147931098938
150928,-1.1839864253997803,6.36835241317749,1.1540157794952393,4.653988838195801,106319,0.4529465138912201
942658,6.676963806152344,10.329520225524902,7.60279655456543,2.6933352947235107,168139,0.49861010909080505
